iter	Logloss
0	0.6908839524
1	0.6879779114
2	0.6850299165
3	0.6822442323
4	0.6803287874
5	0.6773535228
6	0.6752747646
7	0.6730472227
8	0.6718542615
9	0.6693820413
10	0.6678646145
11	0.6658308478
12	0.663230045
13	0.6608440711
14	0.6583013907
15	0.655875933
16	0.6534836327
17	0.6521471274
18	0.6500072354
19	0.6480522208
20	0.6464259426
21	0.6444418205
22	0.6421094889
23	0.6401920739
24	0.6384256877
25	0.6367867878
26	0.6345992908
27	0.632704044
28	0.6305657773
29	0.6289567725
30	0.6268623676
31	0.6246593501
32	0.6235545651
33	0.6215609569
34	0.6197004178
35	0.6182183979
36	0.6164329796
37	0.6156924559
38	0.6146324258
39	0.6127069598
40	0.6115558142
41	0.6105674686
42	0.6085635414
43	0.6073586687
44	0.6059138499
45	0.6041269278
46	0.6022583813
47	0.6005905661
48	0.59950451
49	0.5979788836
50	0.5962679425
51	0.595003614
52	0.5932303861
53	0.5921699519
54	0.5904659523
55	0.589425411
56	0.5878849322
57	0.5866339964
58	0.584909211
59	0.5838882669
60	0.5825278808
61	0.5811405557
62	0.579621361
63	0.5786255167
64	0.5772001735
65	0.5764671787
66	0.5751395421
67	0.5740095725
68	0.5733013653
69	0.5726451497
70	0.5712551312
71	0.5703935248
72	0.569293786
73	0.568009239
74	0.5667335746
75	0.5662230393
76	0.565138632
77	0.5640125457
78	0.5629357204
79	0.561920752
80	0.5608166412
81	0.5597988022
82	0.5591636854
83	0.5580650864
84	0.5575219488
85	0.5567084979
86	0.5556296497
87	0.5543489097
88	0.5532614822
89	0.5519833351
90	0.5513605691
91	0.5504384223
92	0.5494885099
93	0.5489289299
94	0.5482912625
95	0.5476760821
96	0.5468658589
97	0.5461494028
98	0.545268265
99	0.5442952633
100	0.5432879962
101	0.5425034202
102	0.5417429239
103	0.5408789216
104	0.5405565049
105	0.5401899047
106	0.5395503074
107	0.5387225364
108	0.5382774354
109	0.537476721
110	0.5367077113
111	0.5359956194
112	0.5352932384
113	0.5348328971
114	0.5340952215
115	0.5333123974
116	0.5324613419
117	0.5320810415
118	0.5313676728
119	0.5309503926
120	0.5304322643
121	0.5299134803
122	0.5295006272
123	0.5291306197
124	0.5283121854
125	0.5275764424
126	0.5267643929
127	0.5260621538
128	0.5254378678
129	0.5251098211
130	0.5245149578
131	0.524073993
132	0.5233005063
133	0.52299391
134	0.5223139446
135	0.5215468494
136	0.5209479386
137	0.5203920668
138	0.5201820136
139	0.5197184563
140	0.5191203676
141	0.518750033
142	0.5182708285
143	0.5177364984
144	0.5172131578
145	0.5166568692
146	0.5161947664
147	0.5154953436
148	0.5151526526
149	0.5148810704
150	0.5143433862
151	0.5138921461
152	0.5134505389
153	0.5129873125
154	0.5124620594
155	0.5118416935
156	0.5114103428
157	0.5109356666
158	0.5103912453
159	0.5098154052
160	0.509622872
161	0.5092769142
162	0.5089677624
163	0.5088721787
164	0.5084765768
165	0.508029732
166	0.5076097843
167	0.5073540671
168	0.5069669399
169	0.5067303287
170	0.5062281512
171	0.5060622382
172	0.5058231991
173	0.5054724931
174	0.5051893916
175	0.5050353525
176	0.5049060892
177	0.5045621697
178	0.5040577613
179	0.5036580087
180	0.5032982491
181	0.503225856
182	0.5028868859
183	0.5024946516
184	0.5023725007
185	0.5020261237
186	0.5016084087
187	0.5013212531
188	0.5009811121
189	0.5007884128
190	0.5004500152
191	0.500108612
192	0.4999629862
193	0.4995222683
194	0.4992253593
195	0.4991653302
196	0.4988856069
197	0.4987974439
198	0.498736258
199	0.498449913
200	0.4983945133
201	0.4980976055
202	0.497883961
203	0.49760447
204	0.497370361
205	0.4970972364
206	0.4968100847
207	0.4965638831
208	0.4962142649
209	0.4958351592
210	0.4955813194
211	0.4951469713
212	0.4950195583
213	0.4947278675
214	0.4942566469
215	0.4940303663
216	0.4939334018
217	0.4937842842
218	0.4934661264
219	0.4933147856
220	0.4929025456
221	0.4926621449
222	0.4924020827
223	0.4920724346
224	0.4919455251
225	0.4917883142
226	0.4914068203
227	0.4912750939
228	0.4910580467
229	0.4908383984
230	0.4905447826
231	0.4903432912
232	0.4902119741
233	0.4899788004
234	0.4896595599
235	0.4893448412
236	0.4891485848
237	0.4889771122
238	0.4886482999
239	0.4884861909
240	0.4883986192
241	0.4880838341
242	0.4878284505
243	0.487527953
244	0.4873911813
245	0.4872595575
246	0.4871081695
247	0.4868416561
248	0.4865914532
249	0.4863800664
250	0.4862748087
251	0.4860541154
252	0.4858372341
253	0.4856036071
254	0.4853825617
255	0.4852670904
256	0.4850305892
257	0.4849107165
258	0.484712987
259	0.4846472216
260	0.484477044
261	0.48438325
262	0.48415401
263	0.4839808506
264	0.4837987592
265	0.4836393768
266	0.4833595727
267	0.4831218772
268	0.4829685884
269	0.4827809159
270	0.4825515861
271	0.4825318996
272	0.4823138717
273	0.4821509279
274	0.4819038588
275	0.4817430007
276	0.4816823433
277	0.4816203023
278	0.4815419386
279	0.481390288
280	0.4812427262
281	0.4811213077
282	0.4810532713
283	0.4809943654
284	0.4808131032
285	0.480675294
286	0.4805165215
287	0.4804639864
288	0.4803250226
289	0.4802709727
290	0.4801145687
291	0.4800594384
292	0.4798671082
293	0.4797483116
294	0.4795674977
295	0.4794238122
296	0.47930261
297	0.4791585774
298	0.478970884
299	0.4789294805
